"","termID","termName","termDesc","unitName","dataType","relatedTerms"
"86",NA,"basalStemDiameterMsrmntHeight","Height at which basalStemDiameter is measured","centimeter","real","NA"
"87",NA,"baseCrownHeight","Height above the ground for the lowest portion of the crown","meter","real","NA"
"88",NA,"baseCrownMaxDiameter","The maximum diameter of the base of the crown","meter","real","NA"
"89",NA,"baseCrownNinetyDiameter","Diameter perpendicular to baseCrownMaxDiameter","meter","real","NA"
"90",NA,"batchDate","Date of batch or analytical run ","NA","dateTime",NA
"91",NA,"batchID","Identifier for batch or analytical run","NA","string",NA
"92",NA,"batchIssues","any notable issues encountered (equipment or otherwise)","NA","string",NA
"93",NA,"bDiskHeight","The height, to the nearest 0.1 cm, of the log cross-sectional disk used for bulk density sampling; measurement location 2","centimeter","real",NA
"94",NA,"beaufortScaleWind","Qualitative description of wind conditions based on the beaufort scale","NA","string","NA"
"95",NA,"bgcQF","Quality flag for biogeochemistry sample","NA","signed integer","NA"
"96",NA,"bgcRemarks","Remarks from biogeochemistry subsample processing","NA","string","NA"
"97",NA,"bgcSampleCompromised","Indicator of compromised integrity of a biogeochemical sample","NA","string","NA"
"98",NA,"bGroupHeight","Height of tallest 5 stems in group, b","meter","real",NA
"99",NA,"bigTreeCover","Vegetation cover for trees greater than 0.3 m diameter at breast height (DBH)","NA","string",NA
"100",NA,"biovolumeFile","File containing biovolumes for algae taxa","NA","textFile",NA
"101",NA,"boatRampsCover","Cover of boat ramps","NA","string",NA
"102",NA,"boutID","Unique identifier for the sampling bout","NA","string",NA
"103",NA,"branchBarkCover","Visually estimated cover class of bark remaining on branches attached to a piece of coarse downed wood","NA","string",NA
"104",NA,"branchBarkPresence","Categorical indicator of bark presence on branches > 1 cm diameter on a piece of coarse downed wood","NA","string",NA
"105",NA,"branchCount","Count of branches","number","real","NA"
"106",NA,"branchesPresent","Categorical indicator of branches > 1 cm diameter present on a piece of coarse downed wood","NA","string",NA
"107",NA,"breakDiameter","Cross-sectional diameter at the break point along a broken bole","centimeter","real","NA"
"108",NA,"breakHeight","Height from the ground to the highest point along a broken bole","meter","real","NA"
"109",NA,"bTestResult","Result of the test for presence of serum antibodies reactive against one or more pathogens as determined by secondary, blind (relative to the initial evaluation of test result. 'Positive' for positive, 'Negative' for negative, 'Uncertain' for uncertain. Also includes the name of, and link to, the file containing the photograph of the associated test media and the identification number/label of the sample in the photo","NA","string",NA
"110",NA,"buildingsCover","Cover of buildings","NA","string",NA
"111",NA,"bulkDensLitterDepth","Depth of litter above bulk density sample in centimeters to 0.1","centimeter","real",NA
"112",NA,"bulkDensMinHorDepth","Depth of mineral horizon in bulk density sample in centimeters to 0.1","centimeter","real",NA
"113",NA,"bulkDensOrgHorDepth","Depth of organic horizon in bulk density sample in centimeters to 0.1","centimeter","real",NA
"114",NA,"bulkDensWtDryGreater2mmWBag","Weight of dry soil in bulk density sample, > 2mm fraction, with bag, to 0.01","gram","real",NA
"115",NA,"bulkDensWtDryLess2mmWBag","Weight of dry soil in bulk density sample, < 2mm fraction, with bag, to 0.01","gram","real",NA
"116",NA,"bulkDensWtPresieve","Weight of soil in bulk density sample before it is sieved, in grams to 0.01","gram","real",NA
"117",NA,"buoyStaPres","Station pressure on-buoy","kilopascal","real","NA"
"118",NA,"buoyStaPresExpUncert","Expanded uncertainty for station pressure on-buoy","kilopascal","real","NA"
"119",NA,"caclpHRatio","Ratio of calcium chloride to soil for pH measurement","NA","real",NA
"120",NA,"caclReplicateNum","Replicate for pH sample in calcium chloride solution","NA","integer",NA
"121",NA,"cactiAbsentList","List of subplots or nested subplots in which cacti are not present","NA","string","NA"
"122",NA,"cactiPresent","Indicator of whether the plot contains cacti","NA","string","NA"
"123",NA,"calcFutureTime","The calculated future date and time","NA","dateTime",""
"124",NA,"calcProcessTime","The calculated difference between the time of a collection event and processing event","NA","dateTime",""
"125",NA,"cameraOrientation","Direction camera was facing when image was acquired, value = upward or downward","NA","string",NA
"126",NA,"cameraPosition","Height camera was held when image was taken, value = shoulder or ground","NA","string",NA
"127",NA,"canopyArea","Area of the group canopy","squareMeter","real",NA
"128",NA,"canopyCoverPercent","Percent canopy cover","percent","real",NA
"129",NA,"carbonateRemoved","Indicator for whether a sample or subsample has been acidified to remove carbonate prior to analysis","NA","string",NA
"130",NA,"carbonPercent","Percent carbon in a sample on a dry weight basis","percent","real",NA
"131",NA,"carboyVolume","Volume of salt tracer storage tank in liters","liter","real",NA
"132",NA,"cas","Chemical Abstracts Service registry number","NA","string",NA
"133",NA,"catchCupOn","whether the trap catch cup was on when the sample was collected, Y = Yes, N = No","NA","string",NA
"134",NA,"cDiskHeight","The height, to the nearest 0.1 cm, of the log cross-sectional disk used for bulk density sampling; measurement location 3","centimeter","real",NA
"135",NA,"cellCount","Cell count result from the external laboratory","numberPerMilliliter","real",NA
"136",NA,"cellCountPreservantVolume","Volume of preservative added to cell count sample","milliliter","real",NA
"137",NA,"cellCountSampleVolume","Volume of water collected for cell count analysis ","milliliter","real",NA
"138",NA,"certifiedStandardAccuracy","Analytical accuracy of certified standard","NA","real",NA
"139",NA,"cGroupHeight","Height of tallest 5 stems in group, c","meter","real",NA
"140",NA,"chlorophyllSampleCode","Barcode of a chlorophyll sample","NA","string",NA
"141",NA,"chlorophyllSampleFate","Fate of a chlorophyll sample","NA","string",NA
"142",NA,"chlorophyllSampleID","Identifier for a chlorophyll sample","NA","string",NA
"143",NA,"clayPercent","Percent clay in a soil or sediment sample","percent","real","NA"
"144",NA,"clipDimension","The dimensions of the clip-harvest area (LxW) in meters","NA","string","NA"
"145",NA,"clipLength","The length of the clip-harvest area in meters","meter","real","NA"
"146",NA,"clipWidth","The width of the clip-harvest area in meters","meter","real","NA"
"147",NA,"cnIsotopeQF","Quality flag for stable isotope values outside the calibration range","NA","signed integer",NA
"148",NA,"cnPercentQF","Quality flag for concentration values outside the calibration range","NA","signed integer",NA
"149",NA,"CNratio","Ratio of carbon to nitrogen concentration in a sample on a dry weight basis","NA","real",NA
"150",NA,"collectDateExt","Collection date returned by an external laboratory","NA","dateTime",NA
"151",NA,"completeTaxonomy","Full taxonomic hierarchy for identified organism","NA","string",""
"152",NA,"compositeSample","Unique Identifier for a sample comprised of a mixture","NA","string",NA
"153",NA,"consensusTestResult","Result of the test for presence of serum antibodies reactive against one or more pathogens as determined by comparison of aTestResult and bTestResult 'positive' for positive, 'negative' for negative, 'uncertain' for uncertain. Also includes the name of, and link to, the file containing the photograph of the associated test media and the identification number/label of the sample in the photo","NA","string",NA
"154",NA,"controlType","Control type for test or experiment","NA","string",""
"155",NA,"coordinateSource","The method used to collect or create spatial information","NA","string",NA
"156",NA,"coreLength","Length of core","centimeter","real",NA
"157",NA,"coreType","Type of core sample collected for soil nitrogen transformation analysis","NA","string",NA
"158",NA,"country","Country of collection","NA","string",NA
"159",NA,"county","County where data was collected","NA","string",NA
"160",NA,"coverClass","Cover class of vegetation within the sampling area","NA","unsigned integer",NA
"161",NA,"coverClass2","Cover class of vegetation within the sampling area for the second sample","NA","unsigned integer",NA
"162",NA,"coverClass3","Cover class of vegetation within the sampling area for third sample","NA","unsigned integer",NA
"163",NA,"criteriaMet","Whether or not criteria are met","NA","string",""
"164",NA,"d01LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 01","NA","string",NA
"165",NA,"d01NativeStatusCode","The process by which the taxon became established in NEON Domain 01.","NA","string",NA
"166",NA,"d01NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 01","NA","string",NA
"167",NA,"d02LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 02","NA","string",NA
"168",NA,"d02NativeStatusCode","The process by which the taxon became established in NEON Domain 02","NA","string",NA
"169",NA,"d02NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 02","NA","string",NA
"170",NA,"d03LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 03","NA","string",NA
"171",NA,"d03NativeStatusCode","The process by which the taxon became established in NEON Domain 03","NA","string",NA
"172",NA,"d03NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 03","NA","string",NA
"173",NA,"d04LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 04","NA","string",NA
"174",NA,"d04NativeStatusCode","The process by which the taxon became established in NEON Domain 04","NA","string",NA
"175",NA,"d04NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 04","NA","string",NA
"176",NA,"d05LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 05","NA","string",NA
"177",NA,"d05NativeStatusCode","The process by which the taxon became established in NEON Domain 05","NA","string",NA
"178",NA,"d05NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 05","NA","string",NA
"179",NA,"d06LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 06","NA","string",NA
"180",NA,"d06NativeStatusCode","The process by which the taxon became established in NEON Domain 06","NA","string",NA
"181",NA,"d06NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 06","NA","string",NA
"182",NA,"d07LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 07","NA","string",NA
"183",NA,"d07NativeStatusCode","The process by which the taxon became established in NEON Domain 07","NA","string",NA
"184",NA,"d07NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 07","NA","string",NA
"185",NA,"d08LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 08","NA","string",NA
"186",NA,"d08NativeStatusCode","The process by which the taxon became established in NEON Domain 08","NA","string",NA
"187",NA,"d08NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 08","NA","string",NA
"188",NA,"d09LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 09","NA","string",NA
"189",NA,"d09NativeStatusCode","The process by which the taxon became established in NEON Domain 09","NA","string",NA
"190",NA,"d09NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 09","NA","string",NA
"191",NA,"d10LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 10","NA","string",NA
"192",NA,"d10NativeStatusCode","The process by which the taxon became established in NEON Domain 10","NA","string",NA
"193",NA,"d10NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 10","NA","string",NA
"194",NA,"d11LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 11","NA","string",NA
"195",NA,"d11NativeStatusCode","The process by which the taxon became established in NEON Domain 11","NA","string",NA
"196",NA,"d11NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 11","NA","string",NA
"197",NA,"d12LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 12","NA","string",NA
"198",NA,"d12NativeStatusCode","The process by which the taxon became established in NEON Domain 12","NA","string",NA
"199",NA,"d12NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 12","NA","string",NA
"200",NA,"d13C","Measure of the ratio of 13C:12C in a sample, relative to Vienna Pee Dee Belemnite","permill","real",NA
"201",NA,"d13LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 13","NA","string",NA
"202",NA,"d13NativeStatusCode","The process by which the taxon became established in NEON Domain 13","NA","string",NA
"203",NA,"d13NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 13","NA","string",NA
"204",NA,"d14LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 14","NA","string",NA
"205",NA,"d14NativeStatusCode","The process by which the taxon became established in NEON Domain 14","NA","string",NA
"206",NA,"d14NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 14","NA","string",NA
"207",NA,"d15LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 15","NA","string",NA
"208",NA,"d15N","Measure of the ratio of 15N:14N in a sample, relative to atmospheric N2","permill","real",NA
"209",NA,"d15NativeStatusCode","The process by which the taxon became established in NEON Domain 15","NA","string",NA
"210",NA,"d15NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 15","NA","string",NA
"211",NA,"d16LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 16","NA","string",NA
"212",NA,"d16NativeStatusCode","The process by which the taxon became established in NEON Domain 16","NA","string",NA
"213",NA,"d16NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 16","NA","string",NA
"214",NA,"d17LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 17","NA","string",NA
"215",NA,"d17NativeStatusCode","The process by which the taxon became established in NEON Domain 17","NA","string",NA
"216",NA,"d17NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 17","NA","string",NA
"217",NA,"d18LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 18","NA","string",NA
"218",NA,"d18NativeStatusCode","The process by which the taxon became established in NEON Domain 18","NA","string",NA
"219",NA,"d18NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 18","NA","string",NA
"220",NA,"d19LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 19","NA","string",NA
"221",NA,"d19NativeStatusCode","The process by which the taxon became established in NEON Domain 19","NA","string",NA
"222",NA,"d19NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 19","NA","string",NA
"223",NA,"d20LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 20","NA","string",NA
"224",NA,"d20NativeStatusCode","The process by which the taxon became established in NEON Domain 20","NA","string",NA
"225",NA,"d20NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 20","NA","string",NA
"226",NA,"dataQualityFlag","Indication of data quality assigned by the external lab","NA","string",NA
"227",NA,"dateTimeLogger","local date and time returned by a field data logger","NA","string",NA
"228",NA,"dDiskHeight","The height, to the nearest 0.1 cm, of the log cross-sectional disk used for bulk density sampling; measurement location 4","centimeter","real",NA
"229",NA,"deadPercent","Percent of a given species, within a group, that is dead","percent","real",NA
"230",NA,"decayClass","The categorical decay class, derived from the USFS, assigned to a sampled log","NA","unsigned integer",NA
"231",NA,"dGroupHeight","Height of tallest 5 stems in group, d","meter","real",NA
"232",NA,"diskDiameter","The diameter, to the nearest 0.1 cm, of a log cross-sectional disk sampled for bulk density; for an elliptical log, this is the maximum log diameter, corresponding to the major axis of the","meter","real",NA
"233",NA,"diskID","Numeric dentifier for each log cross-sectional disk sampled for bulk density","NA","unsigned integer",NA
"234",NA,"distanceFromWaterSurfaceDepth","Depth of the temperature sensor from water surface in lakes and rivers","meter","real",NA
"235",NA,"dnaBarcoded","An indicator of whether the sample was selected as a candidate for genetic barcoding","NA","string","NA"
"236",NA,"dnaExtractionRemarks","Technician notes; free text comments regarding nucleic acid extraction accompanying the record","NA","string","NA"
"237",NA,"dnaFacilityID","Name of the laboratory or facility that is processing DNA samples","NA","string","NA"
"238",NA,"dnaPooledStatus","Indicates whether multiple DNA extracts were pooled","NA","string","NA"
"239",NA,"dnaProcessedBy","An identifier for the individual who processed the sample(s)","NA","string","NA"
"240",NA,"dnaSampleCondition","Condition of a DNA sample","NA","string","NA"
"241",NA,"domain","Highest taxonomic rank of organisms","NA","string",""
"242",NA,"domainName","NEON domain name","NA","string",NA
"243",NA,"domainSampleCode","Barcode of the domain lab sample","NA","string",NA
"244",NA,"domainSampleFate","Fate of the domain lab sample","NA","string",NA
"245",NA,"downstreamCoordUncert","The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the downstream location. Zero is not a valid value for this term","meter","real","NA"
"246",NA,"downstreamDecimalLatitude","The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area of a downstream location","decimalDegree","real","NA"
"247",NA,"downstreamDecimalLongitude","The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area at a downstream location","decimalDegree","real","NA"
"248",NA,"dripEndTime","End date and time of the salt tracer injection","NA","dateTime",NA
"249",NA,"dripRateEnd","Rate of salt pumped into stream at end of salt tracer injection","millilitersPerMinute","real",NA
"250",NA,"dripRateStart","Rate of salt pumped into stream at start of salt tracer injection","millilitersPerMinute","real",NA
"251",NA,"dripStartTime","Start date and time of the salt tracer injection","NA","dateTime",NA
"252",NA,"dryIceLeft","whether there was any dry ice in the trap cooler when the sample was collected, Y = Yes, N = No","NA","string",NA
"253",NA,"dryMassFraction","Dry mass divided by fresh mass of a sample","NA","real",""
"254",NA,"duplicateFieldDataQF","Quality Flag for duplicate record in field data","NA","signed integer","NA"
"255",NA,"duplicateReferenceQF","Quality flag for duplicate reference samples","NA","signed integer",NA
"256",NA,"duplicatesInBgcQF","Quality flag for duplicate record in soil biogeochemistry data","NA","signed integer","NA"
"257",NA,"duplicatesInCollectionQF","Quality flag for duplicate record in sample collection","NA","signed integer",NA
"258",NA,"duplicatesInpHQF","Quality flag for duplicate record in pH data","NA","signed integer",NA
"259",NA,"duplicatesInSMQF","Quality flag for duplicate record in soil moisture data","NA","signed integer",NA
"260",NA,"duplicateSpatialLocQF","Quality flag indicating a duplicate spatial location returned for a sampleID","NA","signed integer",NA
"261",NA,"eGroupHeight","Height of tallest 5 stems in group, e","meter","real",NA
"262",NA,"endDayOfYear","The latest ordinal day of the year on which the Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366)","nominalDay","unsigned integer",NA
"263",NA,"endTime","Time at which a sampling SOP (or SOPs) is/are completed","NA","dateTime",NA
"264",NA,"equilibratedAirSampleCode","Barcode for a sample of air that has been equilibrated with water (i.e., a mixture)","NA","string",NA
"265",NA,"equilibratedAirSampleFate","Fate of a sample of air that has been equilibrated with water (i.e., a mixture)","NA","string",NA
"266",NA,"estRecovery1","Percent of organisms recovered after QC sort 1","percent","real",NA
"267",NA,"estRecovery2","Percent of organisms recovered after QC sort 2","percent","real",NA
"268",NA,"estRecovery3","Percent of organisms recovered after QC sort 3","percent","real",NA
"269",NA,"externaLabFileName","External lab specific file name for run data","NA","string",NA
"270",NA,"externaLablFileName","External lab specific file name for run data","NA","string",NA
"271",NA,"externalQualifier","A data qualifier returned by an external laboratory","NA","string",NA
