startdate,eventid,domainid,siteid,plotid,subplotid,nestedsubplotid,tagid,individualid,vstid,pointid,stemdistance,stemazimuth,supportingstemtagid,previouslytaggedas,taxonid,identificationqualifier,remarks,measuredby,recordedby
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,41,,00093,NEON.PLA.D03.JERC.00093,,,,,,,SAAL5,,Listed on data sheet as subplot ID 51 corrected on data sheet; Living,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,40,,00105,NEON.PLA.D03.JERC.00105,,41,5.2,351,,,2PLANT,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,40,,00106,NEON.PLA.D03.JERC.00106,,41,9.9,314,,,2PLANT,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00107,NEON.PLA.D03.JERC.00107,,,,,,,2PLANT,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,40,,00108,NEON.PLA.D03.JERC.00108,,41,9.9,343,,,2PLANT,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00110,NEON.PLA.D03.JERC.00110,,,,,,,2PLANT,,No transcription errors found,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,31,,00111,NEON.PLA.D03.JERC.00111,,,,,,,2PLANT,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,31,,00112,NEON.PLA.D03.JERC.00112,,,,,,,2PLANT,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,31,,00113,NEON.PLA.D03.JERC.00113,,,,,,,2PLANT,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00115,NEON.PLA.D03.JERC.00115,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00116,NEON.PLA.D03.JERC.00116,,41,8.8,136,,,SAAL5,,No transcription errors found,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00117,NEON.PLA.D03.JERC.00117,,,,,,,SAAL5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00118,NEON.PLA.D03.JERC.00118,,,,,,,SAAL5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00119,NEON.PLA.D03.JERC.00119,,41,8.6,133.9,,,SAAL5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00120,NEON.PLA.D03.JERC.00120,,41,8.2,126,,,SAAL5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00122,NEON.PLA.D03.JERC.00122,,,,,,,SAAL5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00125,NEON.PLA.D03.JERC.00125,,,,,,,QUNI,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00127,NEON.PLA.D03.JERC.00127,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00132,NEON.PLA.D03.JERC.00132,,,,,,,DIVI5,,No transcription errors found,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00133,NEON.PLA.D03.JERC.00133,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00135,NEON.PLA.D03.JERC.00135,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00140,NEON.PLA.D03.JERC.00140,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00149,NEON.PLA.D03.JERC.00149,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00150,NEON.PLA.D03.JERC.00150,,,,,,,QUST,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00151,NEON.PLA.D03.JERC.00151,,,,,,,QUST,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00152,NEON.PLA.D03.JERC.00152,,,,,,,QUNI,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00153,NEON.PLA.D03.JERC.00153,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00154,NEON.PLA.D03.JERC.00154,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00156,NEON.PLA.D03.JERC.00156,,41,10.8,44,,,QUNI,,No transcription errors found,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00157,NEON.PLA.D03.JERC.00157,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00159,NEON.PLA.D03.JERC.00159,,41,8.9,64,,,CAAM2,,No transcription errors found,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00160,NEON.PLA.D03.JERC.00160,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00161,NEON.PLA.D03.JERC.00161,,,,,,,QUNI,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,41,,00163,NEON.PLA.D03.JERC.00163,,,,,00162,,SMGL,cf. species,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,31,,00164,NEON.PLA.D03.JERC.00164,,41,9.1,212,,,PIPA2,,no transcription errors,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00165,NEON.PLA.D03.JERC.00165,,41,6.3,46.1,,,PIPA2,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00166,NEON.PLA.D03.JERC.00166,,41,9.8,52.6,,,PIPA2,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00167,NEON.PLA.D03.JERC.00167,,41,9.8,56.8,,,PIPA2,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,32,,00168,NEON.PLA.D03.JERC.00168,,41,7.5,107.1,,,PIPA2,,dead; no transciption error,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,32,,00174,NEON.PLA.D03.JERC.00174,,,,,,,PIPA2,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,32,,00176,NEON.PLA.D03.JERC.00176,,,,,,,QUIN,,dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00179,NEON.PLA.D03.JERC.00179,,,,,,,PIPA2,,dead; no transcription errors,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00180,NEON.PLA.D03.JERC.00180,,,,,,,QUMA3,,main stem dead; no transcription error,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00181,NEON.PLA.D03.JERC.00181,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00182,NEON.PLA.D03.JERC.00182,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00183,NEON.PLA.D03.JERC.00183,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00184,NEON.PLA.D03.JERC.00184,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00186,NEON.PLA.D03.JERC.00186,,,,,,,QUMA3,,no transcription errors,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00187,NEON.PLA.D03.JERC.00187,,,,,,,QUMA3,,dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00188,NEON.PLA.D03.JERC.00188,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,40,,00189,NEON.PLA.D03.JERC.00189,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00191,NEON.PLA.D03.JERC.00191,,,,,,,QUMA3,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00193,NEON.PLA.D03.JERC.00193,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00194,NEON.PLA.D03.JERC.00194,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00195,NEON.PLA.D03.JERC.00195,,,,,,,QUMA3,,main stem dead; no transcription error,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00196,NEON.PLA.D03.JERC.00196,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00197,NEON.PLA.D03.JERC.00197,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00198,NEON.PLA.D03.JERC.00198,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00199,NEON.PLA.D03.JERC.00199,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00200,NEON.PLA.D03.JERC.00200,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00202,NEON.PLA.D03.JERC.00202,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_015,41,,00203,NEON.PLA.D03.JERC.00203,,,,,,,QUMA3,,main stem dead,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00204,NEON.PLA.D03.JERC.00204,,,,,,,QULA3,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00205,NEON.PLA.D03.JERC.00205,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00207,NEON.PLA.D03.JERC.00207,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00208,NEON.PLA.D03.JERC.00208,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00209,NEON.PLA.D03.JERC.00209,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00210,NEON.PLA.D03.JERC.00210,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00211,NEON.PLA.D03.JERC.00211,,,,,,,DIVI5,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00212,NEON.PLA.D03.JERC.00212,VST.JERC.00212.2014,,,,,,RHCO,,Tag seen on ground after bushhogging event at plot 20180228,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00213,NEON.PLA.D03.JERC.00213,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,4,00214,NEON.PLA.D03.JERC.00214,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00215,NEON.PLA.D03.JERC.00215,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,1,00216,NEON.PLA.D03.JERC.00216,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,4,00218,NEON.PLA.D03.JERC.00218,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,40,1,00219,NEON.PLA.D03.JERC.00219,,,,,,,QUNI,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,40,1,00220,NEON.PLA.D03.JERC.00220,,,,,,,QUNI,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,40,1,00221,NEON.PLA.D03.JERC.00221,,,,,,,QUNI,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,40,1,00222,NEON.PLA.D03.JERC.00222,,,,,,,QUNI,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,40,1,00223,NEON.PLA.D03.JERC.00223,,,,,,,QUNI,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,40,1,00224,NEON.PLA.D03.JERC.00224,,,,,,,QUNI,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,40,1,00225,NEON.PLA.D03.JERC.00225,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,40,1,00226,NEON.PLA.D03.JERC.00226,,,,,,,PIEL,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,31,1,00227,NEON.PLA.D03.JERC.00227,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,32,2,00228,NEON.PLA.D03.JERC.00228,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,2,00229,NEON.PLA.D03.JERC.00229,VST.JERC.00229.2014,,,,,,RHCO17,,Invalid nested subplotID for this subplot.,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,2,00230,NEON.PLA.D03.JERC.00230,VST.JERC.00230.2014,,,,,,RHCO17,,Invalid nested subplotID for this subplot.,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,2,00232,NEON.PLA.D03.JERC.00232,VST.JERC.00232.2014,,,,,,RHCO17,,Invalid nested subplotID for this subplot.,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,2,00238,NEON.PLA.D03.JERC.00238,VST.JERC.00238.2014,,,,,,RHCO17,,Invalid nested subplotID for this subplot.,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,2,00239,NEON.PLA.D03.JERC.00239,VST.JERC.00239.2014,,,,,,RHCO17,,Invalid nested subplotID for this subplot.,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-19,vst_JERC_2014,D03,JERC,JERC_007,41,2,00240,NEON.PLA.D03.JERC.00240,VST.JERC.00240.2014,,,,,,RHCO17,,Invalid nested subplotID for this subplot.,jkilmer@field-ops.org,tantony@field-ops.org
