"","termID","termName","termDesc","unitName","dataType","relatedTerms"
"21",NA,"adjAlgalN","Average total nitrogen of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
"22",NA,"adjAlgalP","Average total phosphorus of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
"23",NA,"adjAlgalPheo","Average algal pheophytin of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
"24",NA,"adjAqPlantC","Average percent carbon of plant replicates by mass","percent","real",NA
"25",NA,"adjAqPlantMassCRatio","Mass ratio of carbon adjusted for replicates","milligramsPerGram","real",NA
"26",NA,"adjAqPlantMassNRatio","Mass ratio of nitrogen adjusted for replicates","milligramsPerGram","real",NA
"27",NA,"adjAqPlantN","Average percent nitrogen of plant replicates by mass","percent","real",NA
"28",NA,"adjLarvaCount","Count of larvae of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent)","NA","real",NA
"29",NA,"adjPupaCount","Count of pupae of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent)","NA","real",NA
"30",NA,"adjTotalCount","Count of total individuals (larvae + pupae+ adults) of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent)","NA","real",NA
"31",NA,"adjVolumeCount","Count of individuals of the given taxon, multiplied to account for field and lab subsampling","numberPerLiter","real",NA
"32",NA,"agricultureCover","Cover of agriculture","NA","string",NA
"33",NA,"aGroupHeight","Height of tallest 5 stems in group, a","meter","real",NA
"34",NA,"airDryOvenDryMethod","Methods used for air-dried to oven-dried ratio analysis","NA","string",""
"35",NA,"airDryOvenDryMethodBook","Citation for publication describing the methods used for air-dried to oven-dried ratio analysis","NA","string",""
"36",NA,"airDryOvenDryProcessedDate","Date of processing sample for air-dried to oven-dried ratio analysis","NA","dateTime",""
"37",NA,"airDryOvenDryRatio","Airdry to ovendry ratio of the <2 mm fraction","NA","real",""
"38",NA,"akLocalityStatusSource","The reference to the source describing whether the taxon is established in the state of Alaska, USA","NA","string",NA
"39",NA,"akNativeStatusCode","The process by which the taxon became established in the state of Alaska, USA","NA","string",NA
"40",NA,"akNativeStatusSource","The reference to the source describing the process by which the taxon became established in the state of Alaska, USA","NA","string",NA
"41",NA,"alCitDithionate","Dithionite citrate extractable aluminum content, indicates the amount of aluminum substituted for iron in iron oxides, reported as weight percent on the <2mm fraction","percent","real",""
"42",NA,"algalParameterValuePub","Value of the algalParameter that is published","NA","string","NA"
"43",NA,"alignmentMethod","Method used to align sequences","NA","string",""
"44",NA,"alOxalate","Total soil Al as estimated by the ammonium oxalate extraction method, reported as weight percent on the <2 mm fraction","percent","real",""
"45",NA,"ampliconConcentration","Concentration of amplicon DNA used for sequencing reaction","nanogramsPerMicroliter","real","NA"
"46",NA,"ampliconPooledStatus","Indicates whether multiple PCR reactions were pooled","NA","string","NA"
"47",NA,"amplificationProtocol","The method used to PCR amplify a sample","NA","string","NA"
"48",NA,"analysis","The analysis performed or conducted","NA","string",NA
"49",NA,"analysisCodeFileName","File name of code used for data analysis","NA","string",""
"50",NA,"analysisProgram","Program or software used to analyze sequences for taxonomic identification","NA","string",""
"51",NA,"analysisProgramVersion","The unique name and numbering combination assigned to the analysis program","NA","string",""
"52",NA,"analysisStandardID","Manufacturer and catalog number of analytical standard","NA","string",""
"53",NA,"analyteConcText","Analyte that has a value returned as a string","NA","string",""
"54",NA,"analyteObservedValue","The measured value of a given analyte for a standard reference material, with units tied to the analyte","NA","real",""
"55",NA,"analytesBelowPQL","List of analytes that are below the practical quantitation limit","NA","string","NA"
"56",NA,"analyzedByAnon","Anonymized name of lab personnel analyzing sample","NA","string",NA
"57",NA,"applicableModules","Pipe-delimited list of modules sampled at the plot: BET = beetles; BGC = biogeochemistry; BRD = birds; CWD = coarse woody debris; DHP = digital hemispherical photos for leaf area index; DIV = plant diversity; HBP = herbaceous productivity; LBS = camera-quadrat for leaf area index by species; LTR = litter and fine woody debris; MAM = mammal abundance and diversity; MFB = mat-forming bryophyte production; MOS = mosquitoes; MPT = mosquito pathogens; PHE = plant phenology; SME = soil microbes; SLS = soil sampling; TCK = ticks; VST = vegetation structure","NA","string",NA
"58",NA,"aquMicrobeScrubArea","Sampler area of epilithon or epixylon sample","squareMeter","real",""
"59",NA,"aquMicrobeType","Group of organisms in an aquatic microbes sample defined by habitat or location","NA","string",NA
"60",NA,"archaeaAlignmentMethod","Method used to align archaeal sequences","NA","string",""
"61",NA,"archaeaAnalysisProgram","Program or software used to analyze archaeal sequences for taxonomic identification","NA","string",""
"62",NA,"archaeaChimeraMethod","Method used to remove chimeras from archaeal sequences","NA","string",""
"63",NA,"archaeaClusterMethod","Method use to cluster archaeal sequences","NA","string",""
"64",NA,"archaeaClusterSimilarity","Similarity threshold for archaeal sequence clusters","percent","real",""
"65",NA,"archaeaReferenceDatabase","Reference database used for archaeal taxonomic identification","NA","string",""
"66",NA,"archiveCode","Code of the Archive sample","NA","string",""
"67",NA,"archiveLocatorID","This is to indicate the location where filter is archived","NA","string",""
"68",NA,"archiveRemarks","Remarks from sample archiving","NA","string",""
"69",NA,"archiveSampleMedium","Physical form of the archive specimen","NA","string",""
"70",NA,"archiveStartDate","Date of the archival starts","NA","dateTime",""
"71",NA,"arealAdjAdultCount","Count of adults of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent) and the benthic area sampled based on sampleType","NA","real",NA
"72",NA,"arealAdjAlgalC","Average total carbon of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"73",NA,"arealAdjAlgalChlA","Average algal chlorophyll a of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"74",NA,"arealAdjAlgalN","Average total nitrogen of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"75",NA,"arealAdjAlgalP","Average total phosphorus of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"76",NA,"arealAdjAlgalPheo","Average algal pheophytin of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"77",NA,"arealAdjLarvaCount","Count of larvae of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent) and the benthic area sampled based on sampleType","NA","real",NA
"78",NA,"arealAdjPupaCount","Count of pupae of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent) and the benthic area sampled based on sampleType","NA","real",NA
"79",NA,"arealAdjTotalCount","Count of total individuals (larvae + pupae+ adults) of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent) and the benthic area sampled based on sampleType","NA","real",NA
"80",NA,"assemblyFlowRateQAQCRpt","Quality assurance and quality control report for the assembly flow rate test, which indicates whether the assembly flow rate is within threshold limits, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","real",NA
"81",NA,"associatedMedia","Filename of media that is a data product, or constitutes metadata for a data product","NA","string",NA
"82",NA,"aTestResult","Result of the test for presence of serum antibodies reactive against one or more pathogens as determined by initial evaluation of test result. 'Positive' for positive, 'Negative' for negative, 'Uncertain' for uncertain. Also includes the name of, and link to, the file containing the photograph of the associated test media and the identification number/label of the sample in the photo","NA","string",NA
"83",NA,"averaging2QF","Quality flag indicating how the precipitation value was calculated from the three strain gauges if averaging QF = 7 (0 = average of all three strain gauges; 1, 2, and 4 = average of two of the three strain gauges; 3, 5, and 6 = only one strain gauge was used; 7 = no precipitation value was calculated for that time period), detailed in NEON.DOC.000654","NA","signed integer",NA
"84",NA,"averagingQF","Quality flag indicating how the precipitation value was calculated from the three strain gauges (0 = average of all three strain gauges; 1, 2, and 4 = average of two of the three strain gauges; 3, 5, and 6 = only one strain gauge was used; 7 = average is determined according to averaging2QF), detailed in NEON.DOC.000654","NA","signed integer",NA
"85",NA,"avgWt1DryBag","Average weight of five dry bags in grams to 0.01","gram","real",NA
"86",NA,"avLeafLength","Average length of an adult leaf, used to estimate plant biomass","centimeter","real",NA
"87",NA,"bacteriaAlignmentMethod","Method used to align bacterial sequences","NA","string",""
"88",NA,"bacteriaAnalysisProgram","Program or software used to analyze bacterial sequences for taxonomic identification","NA","string",""
"89",NA,"bacteriaChimeraMethod","Method used to remove chimeras from bacterial sequences","NA","string",""
"90",NA,"bacteriaClusterMethod","Method use to cluster bacterial sequences","NA","string",""
"91",NA,"bacteriaClusterSimilarity","Similarity threshold for bacterial sequence clusters","percent","real",""
"92",NA,"bacteriaReferenceDatabase","Reference database used for bacterial taxonomic identification","NA","string",""
"93",NA,"bagNumber","Unique value for tracking a field collected sample","NA","string",NA
"94",NA,"bareDirtCover","Cover of bare dirt","NA","string",NA
"95",NA,"basalStemDiameter","Cross-sectional stem diameter at base of stem","centimeter","real",NA
"96",NA,"basalStemDiameterMsrmntHeight","Height at which basalStemDiameter is measured","centimeter","real","NA"
"97",NA,"baseCrownHeight","Height above the ground for the lowest portion of the crown","meter","real","NA"
"98",NA,"baseCrownMaxDiameter","The maximum diameter of the base of the crown","meter","real","NA"
"99",NA,"baseCrownNinetyDiameter","Diameter perpendicular to baseCrownMaxDiameter","meter","real","NA"
"100",NA,"batchDate","Date of batch or analytical run ","NA","dateTime",NA
"101",NA,"batchIssues","any notable issues encountered (equipment or otherwise)","NA","string",NA
"102",NA,"bDiskHeight","The height, to the nearest 0.1 cm, of the log cross-sectional disk used for bulk density sampling; measurement location 2","centimeter","real",NA
"103",NA,"bgcArchive","Indicator for whether a biogeochemistry archive sample was created","NA","string",""
"104",NA,"bgcSampleCompromised","Indicator of compromised integrity of a biogeochemical sample","NA","string","NA"
"105",NA,"bGroupHeight","Height of tallest 5 stems in group, b","meter","real",NA
"106",NA,"bigTreeCover","Vegetation cover for trees greater than 0.3 m diameter at breast height (DBH)","NA","string",NA
"107",NA,"biovolumeFile","File containing biovolumes for algae taxa","NA","textFile",NA
"108",NA,"boatRampsCover","Cover of boat ramps","NA","string",NA
"109",NA,"boutID","Unique identifier for the sampling bout","NA","string",NA
"110",NA,"branchBarkPresence","Categorical indicator of bark presence on branches > 1 cm diameter on a piece of coarse downed wood","NA","string",NA
"111",NA,"branchCount","Count of branches","number","real","NA"
"112",NA,"Bray1PExtractable","Total phosphorus extracted by the Bray 1 solution","milligramsPerKilogram","real",""
"113",NA,"Bray1PMethod","Method used for Bray extraction phosphorus analysis","NA","string",""
"114",NA,"Bray1PMethodBook","Citation for publication describing the methods used for Bray extraction phosphorus analysis","NA","string",""
"115",NA,"Bray1PProcessedDate","Date of processing sample for Bray extraction phosphorus analysis","NA","dateTime",""
"116",NA,"breakDiameter","Cross-sectional diameter at the break point along a broken bole","centimeter","real","NA"
"117",NA,"breakHeight","Height from the ground to the highest point along a broken bole","meter","real","NA"
"118",NA,"bTestResult","Result of the test for presence of serum antibodies reactive against one or more pathogens as determined by secondary, blind (relative to the initial evaluation of test result. 'Positive' for positive, 'Negative' for negative, 'Uncertain' for uncertain. Also includes the name of, and link to, the file containing the photograph of the associated test media and the identification number/label of the sample in the photo","NA","string",NA
"119",NA,"buildingsCover","Cover of buildings","NA","string",NA
"120",NA,"bulkDenFieldMoist","Weight per unit volume measured at field moisture","gramsPerCubicCentimeter","real",""
"121",NA,"bulkDensDisk","Bulk density of a cdw disk","gramsPerCubicCentimeter","real",""
"122",NA,"bulkDensLitterDepth","Depth of litter above bulk density sample in centimeters to 0.1","centimeter","real",NA
"123",NA,"bulkDensMethod","Method used for bulk density analysis","NA","string",""
"124",NA,"bulkDensMethodBook","Citation for publication describing the methods used for bulk density analysis","NA","string",""
"125",NA,"bulkDensMinHorDepth","Depth of mineral horizon in bulk density sample in centimeters to 0.1","centimeter","real",NA
"126",NA,"bulkDensOrgHorDepth","Depth of organic horizon in bulk density sample in centimeters to 0.1","centimeter","real",NA
"127",NA,"bulkDensOvenDry","Weight per unit volume measured on oven dried soil clods","gramsPerCubicCentimeter","real",""
"128",NA,"bulkDensProcessedDate","Date of processing sample for bulk density analysis","NA","dateTime",""
"129",NA,"bulkDensThirdBar","Weight per unit volume measured after equilibration at one third bar water tension","gramsPerCubicCentimeter","real",""
"130",NA,"bulkDensWidth","Width of the bulk density sample","centimeter","real",""
"131",NA,"bulkDensWtDryGreater2mmWBag","Weight of dry soil in bulk density sample, > 2mm fraction, with bag, to 0.01","gram","real",NA
"132",NA,"bulkDensWtDryLess2mmWBag","Weight of dry soil in bulk density sample, < 2mm fraction, with bag, to 0.01","gram","real",NA
"133",NA,"bulkDensWtPresieve","Weight of soil in bulk density sample before it is sieved, in grams to 0.01","gram","real",NA
"134",NA,"bulkFishCount","The number of fish counted during bulk processing","number","unsigned integer",""
"135",NA,"bulkMortality","The number of specimens found dead in bulk processing","number","unsigned integer",""
"136",NA,"c10:0Concentration","Concentration of decanoate methyl ester","nanomolesPerGram","real",""
"137",NA,"c11:0Concentration","Concentration of undecanoate methyl ester","nanomolesPerGram","real",""
"138",NA,"c12:0Concentration","Concentration of dodecanoic acid, or lauric acid, methyl ester","nanomolesPerGram","real",""
"139",NA,"c13:0Concentration","Concentration of tridecanoic acid methyl ester","nanomolesPerGram","real",""
"140",NA,"c14:0Concentration","Concentration of tetradecanoic acid, or myristic acid, methyl ester","nanomolesPerGram","real",""
"141",NA,"c14:1Concentration","Concentration of cis-9-tetradecenoic acid, or myristoleic acid, methyl ester","nanomolesPerGram","real",""
"142",NA,"c15:0Concentration","Concentration of pentadecanoic acid methyl ester","nanomolesPerGram","real",""
"143",NA,"c15:1Concentration","Concentration of cis-10-pentadecenoic acid methyl ester","nanomolesPerGram","real",""
"144",NA,"c16:0Concentration","Concentration of hexadecanoic acid, or palmitic acid, methyl ester","nanomolesPerGram","real",""
"145",NA,"c17:0Concentration","Concentration of heptadecanoic acid methyl ester","nanomolesPerGram","real",""
"146",NA,"c17:1Concentration","Concentration of cis-10-Heptadecenoic acid methyl ester","nanomolesPerGram","real",""
"147",NA,"c18:0Concentration","Concentration of octadecanoic acid, or stearic acid, methyl ester","nanomolesPerGram","real",""
"148",NA,"c18:1n11Concentration","Concentration of vaccenic acid or e-octadec-11-enoic acid","nanomolesPerGram","real",""
"149",NA,"c18:3n3Concentration","Concentration of cis,cis,cis-9,12,15-octadecatrienoic acid, or alpha-linolenic acid, methyl ester","nanomolesPerGram","real",""
"150",NA,"c18:3n6Concentration","Concentration of 6,9,12-octadecatrienoic acid, or gamma-linolenic acid, methyl ester","nanomolesPerGram","real",""
"151",NA,"c19:0Concentration","Concentration of nonadecanoic acid methyl ester","nanomolesPerGram","real",""
"152",NA,"c20:0Concentration","Concentration of arachidic acid methyl ester","nanomolesPerGram","real",""
"153",NA,"c20:1Concentration","Concentration of cis-11-eicosenoic acid methyl ester","nanomolesPerGram","real",""
"154",NA,"c20:2Concentration","Concentration of cis-11,14-eicosadienoic acid methyl ester","nanomolesPerGram","real",""
"155",NA,"c20:3n3Concentration","Concentration of cis-11,14,17-eicosatrienoic acid methyl ester","nanomolesPerGram","real",""
"156",NA,"c20:3n6Concentration","Concentration of cis-8,11,14-eicosatrienoic acid, or dihomo-gamma-linoleic acid, methyl ester","nanomolesPerGram","real",""
"157",NA,"c20:4n6Concentration","Concentration of cis-5,8,11,14-eicosatetraenoic acid, or arachidonic acid, methyl ester","nanomolesPerGram","real",""
"158",NA,"c20:5n3Concentration","Concentration of cis-5,8,11,14,17-eicosapentaenoic acid, or eicosapentaenoic acid, methyl ester","nanomolesPerGram","real",""
"159",NA,"c21:0Concentration","Concentration of heneicosanoic acid methyl ester","nanomolesPerGram","real",""
"160",NA,"c22:0Concentration","Concentration of docosanoic acid methyl ester","nanomolesPerGram","real",""
"161",NA,"c22:1n9Concentration","Concentration of cis-13-docosenoic acid, or erucic acid, methyl ester","nanomolesPerGram","real",""
"162",NA,"c22:2Concentration","Concentration of cis-13,16-docosadienoic acid methyl ester","nanomolesPerGram","real",""
"163",NA,"c23:0Concentration","Concentration of tricosanoic acid methyl ester","nanomolesPerGram","real",""
"164",NA,"c24:0Concentration","Concentration of tetracosanoic acid, or lignoceric acid, methyl ester","nanomolesPerGram","real",""
"165",NA,"c24:1Concentration","Concentration of cis-15-tetracosenoic acid","nanomolesPerGram","real",""
"166",NA,"c8:0Concentration","Concentration of octanoate methyl ester","nanomolesPerGram","real",""
"167",NA,"caclReplicateNum","Replicate for pH sample in calcium chloride solution","NA","unsigned integer",NA
"168",NA,"caco3Method","Method used for calcium carbonate analysis","NA","string",""
"169",NA,"caco3MethodBook","Citation for publication describing the methods used for calcium carbonate analysis","NA","string",""
"170",NA,"caco3ProcessedDate","Date of processing sample for calcium carbonate analysis","NA","dateTime",""
"171",NA,"cactiAbsentList","List of subplots or nested subplots in which cacti are not present","NA","string","NA"
"172",NA,"cactiPresent","Indicator of whether the plot contains cacti","NA","string","NA"
"173",NA,"calcFutureTime","The calculated future date and time","NA","dateTime",""
"174",NA,"calcProcessTime","The calculated difference between the time of a collection event and processing event","NA","dateTime",""
"175",NA,"canopyArea","Area of the group canopy","squareMeter","real",NA
"176",NA,"carbonateRemoved","Indicator for whether a sample or subsample has been acidified to remove carbonate prior to analysis","NA","string",NA
"177",NA,"carbonSedimentSampleFate","Fate of a sediment sample collected for analysis of carbon content","NA","string",""
"178",NA,"carbonSedimentSampleID","Unique identifier for a sediment sample collected for analysis of carbon content","NA","string",""
"179",NA,"carbonSedSampleCode","Barcode for a sediment sample collected for analysis of carbon content","NA","string",""
"180",NA,"cas","Chemical Abstracts Service registry number","NA","string",NA
"181",NA,"catchCupOn","whether the trap catch cup was on when the sample was collected, Y = Yes, N = No","NA","string",NA
"182",NA,"cCollectedBy","Additional NEON technician username who collected the data","NA","string",""
"183",NA,"cDiskHeight","The height, to the nearest 0.1 cm, of the log cross-sectional disk used for bulk density sampling; measurement location 3","centimeter","real",NA
"184",NA,"cecMethod","Method used for cation exchange capacity analysis","NA","string",""
"185",NA,"cecMethodBook","Citation for publication describing the methods used for cation exchange capacity analysis","NA","string",""
"186",NA,"cecProcessedDate","Date of processing sample for cation exchange capacity analysis","NA","dateTime",""
"187",NA,"cellCount","Cell count result from the external laboratory","number","unsigned integer",NA
"188",NA,"cellCountConcentration","Cell count concentration","numberPerMilliliter","real",""
"189",NA,"cfcOnlyTag","Indicator for whether a tagID is a associated with canopy foliage sampling only","NA","string",""
"190",NA,"cGroupHeight","Height of tallest 5 stems in group, c","meter","real",NA
"191",NA,"chimeraMethod","Method used to remove chimeras from sequences","NA","string",""
"192",NA,"chlorophyllSampleCode","Barcode of a chlorophyll sample","NA","string",NA
"193",NA,"chlorophyllSampleFate","Fate of a chlorophyll sample","NA","string",NA
"194",NA,"chlorophyllSampleID","Identifier for a chlorophyll sample","NA","string",NA
"195",NA,"cis-16:1n9Concentration","Concentration of methyl hexadecenoic acid, or palmitoleic acid, methyl ester","nanomolesPerGram","real",""
"196",NA,"cis-18:1n9Concentration","Concentration of cis-9-octadecenoic acid, or oleic acid, methyl ester","nanomolesPerGram","real",""
"197",NA,"cis-18:2n9-12Concentration","Concentration of cis,cis-9,12-octadecadienoic acid, or linoleic acid, or 18:2-omega-6, methyl ester","nanomolesPerGram","real",""
"198",NA,"citrateDithioMethod","Methods used for citrate dithionate extraction","NA","string",""
"199",NA,"citrateDithioMethodBook","Citation for publication describing the methods used for citrate dithionate extraction","NA","string",""
"200",NA,"citrateDithioProcessedDate","Date of processing sample for citrate dithionate extraction","NA","dateTime",""
"201",NA,"clayPercent","Percent clay in a soil or sediment sample","percent","real","NA"
"202",NA,"cleanSampleID","Clean sample ID","NA","string",""
"203",NA,"clipDimension","The dimensions of the clip-harvest area (LxW) in meters","NA","string","NA"
"204",NA,"clusterMethod","Method used to cluster sequences","NA","string",""
"205",NA,"clusterSimilarity","Similarity threshold for sequence clusters","percent","real",""
"206",NA,"collectDateExt","Collection date returned by an external laboratory","NA","dateTime",NA
"207",NA,"collectionDateAccuracy","A numerical representation of the precision of the Collection Date given in days","nominalDay","unsigned integer","NA"
"208",NA,"collectionEventID","A optional event ID for submission purposes that allows for relational data support when multiple specimens are collected from a single site","NA","string","DWC_v2009-04-24:eventID [http://rs.tdwg.org/dwc/terms/history/index.htm#eventID-2009-04-24]"
"209",NA,"collectionNotes","Comments or notes about the collection event","NA","string","DWC_v2009-04-24:identificationRemarks [http://rs.tdwg.org/dwc/terms/history/index.htm#identificationRemarks-2009-04-24]"
"210",NA,"collectors","The full or abbreviated names of the individuals or team responsible for collecting the sample in the field","NA","string","DWC_v2014-10-23:recordedBy [http://rs.tdwg.org/dwc/terms/history/index.htm#recordedBy-2014-10-23]"
"211",NA,"collectProcTimeDiff","The difference between the time of a collection event and processing event","minute","real",""
"212",NA,"completeTaxonomy","Full taxonomic hierarchy for identified organism","NA","string",""
"213",NA,"compositeSample","Unique Identifier for a sample comprised of a mixture","NA","string",NA
"214",NA,"consensusTestResult","Result of the test for presence of serum antibodies reactive against one or more pathogens as determined by comparison of aTestResult and bTestResult 'positive' for positive, 'negative' for negative, 'uncertain' for uncertain. Also includes the name of, and link to, the file containing the photograph of the associated test media and the identification number/label of the sample in the photo","NA","string",NA
"215",NA,"containerID","The identifier for the container in which the sample is located","NA","string",""
"216",NA,"containerMass","Mass of the container in grams","gram","real",""
"217",NA,"coordinateAccuracy","A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude","meter","real","DWC_v2009-04-24:coordinateUncertaintyInMeters [http://tdwg.github.io/dwc/terms/history/index.htm#coordinateUncertaintyInMeters-2009-04-24]"
"218",NA,"coordinateSource","The method used to collect or create spatial information","NA","string",NA
"219",NA,"copyNumberStandardDeviation","Standard deviation in gene copy number in a sample","numberPerNanogram","real","NA"
"220",NA,"coreLength","Length of core","centimeter","real",NA
"221",NA,"coreType","Type of core sample collected for soil nitrogen transformation analysis","NA","string",NA
"222",NA,"country","Country of collection","NA","string",NA
"223",NA,"countryOcean","The full, unabbreviated name of the country, major political unit, or ocean in which the organism was collected","NA","string","NA"
"224",NA,"county","County where data was collected","NA","string",NA
"225",NA,"coverClass","Cover class of vegetation within the sampling area","NA","unsigned integer",NA
"226",NA,"coverClass2","Cover class of vegetation within the sampling area for the second sample","NA","unsigned integer",NA
"227",NA,"coverClass3","Cover class of vegetation within the sampling area for third sample","NA","unsigned integer",NA
"228",NA,"ctonRatio","Ratio of total Carbon to total Nitrogen of the <2 mm fraction","NA","real",""
"229",NA,"cyclo17:0Concentration","Concentration of the cyclopropyl C17:0 fatty acid methyl cis-9,10-methylenehexadecanoate","nanomolesPerGram","real",""
"230",NA,"cyclo19:0Concentration","Concentration of the cyclopropyl C19:0 fatty acid methyl cis-9,10-methyleneoctadecanoate","nanomolesPerGram","real",""
"231",NA,"d01LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 01","NA","string",NA
"232",NA,"d01NativeStatusCode","The process by which the taxon became established in NEON Domain 01.","NA","string",NA
"233",NA,"d01NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 01","NA","string",NA
"234",NA,"d02LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 02","NA","string",NA
"235",NA,"d02NativeStatusCode","The process by which the taxon became established in NEON Domain 02","NA","string",NA
"236",NA,"d02NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 02","NA","string",NA
"237",NA,"d03LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 03","NA","string",NA
"238",NA,"d03NativeStatusCode","The process by which the taxon became established in NEON Domain 03","NA","string",NA
"239",NA,"d03NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 03","NA","string",NA
"240",NA,"d04LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 04","NA","string",NA
"241",NA,"d04NativeStatusCode","The process by which the taxon became established in NEON Domain 04","NA","string",NA
"242",NA,"d04NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 04","NA","string",NA
"243",NA,"d05LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 05","NA","string",NA
"244",NA,"d05NativeStatusCode","The process by which the taxon became established in NEON Domain 05","NA","string",NA
"245",NA,"d05NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 05","NA","string",NA
"246",NA,"d06LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 06","NA","string",NA
"247",NA,"d06NativeStatusCode","The process by which the taxon became established in NEON Domain 06","NA","string",NA
"248",NA,"d06NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 06","NA","string",NA
"249",NA,"d07LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 07","NA","string",NA
"250",NA,"d07NativeStatusCode","The process by which the taxon became established in NEON Domain 07","NA","string",NA
"251",NA,"d07NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 07","NA","string",NA
"252",NA,"d08LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 08","NA","string",NA
"253",NA,"d08NativeStatusCode","The process by which the taxon became established in NEON Domain 08","NA","string",NA
"254",NA,"d08NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 08","NA","string",NA
"255",NA,"d09LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 09","NA","string",NA
"256",NA,"d09NativeStatusCode","The process by which the taxon became established in NEON Domain 09","NA","string",NA
"257",NA,"d09NativeStatusSource","The reference to the source describing the process by which the taxon became established in NEON Domain 09","NA","string",NA
"258",NA,"d10LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 10","NA","string",NA
"259",NA,"d10NativeStatusCode","The process by which the taxon became established in NEON Domain 10","NA","string",NA
