"plotID","pointID","plotType","subtype","decimalLatitude","decimalLongitude","geodeticDatum","utmZone","easting","northing","coordinateUncertainty","coordinateSource","elevation","elevationUncertainty","nlcdClass","monumentType","applicableModules","siteID"
"DELA_056","61","tower","basePlot",32.541183,-87.801743,"WGS84","16N",424718.268,3600707.674,0.13,"GeoXH 6000",30.76,0.17,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_049","61","tower","basePlot",32.542255,-87.802097,"WGS84","16N",424685.884,3600826.683,0.13,"GeoXH 6000",26.36,0.15,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_050","57","tower","basePlot",32.540087,-87.805389,"WGS84","16N",424374.995,3600588.709,0.13,"GeoXH 6000",24.13,0.26,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_050","25","tower","basePlot",32.539722,-87.804966,"WGS84","16N",424414.363,3600547.927,0.13,"GeoXH 6000",24.64,0.16,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_050","23","tower","basePlot",32.539722,-87.805183,"WGS84","16N",424393.988,3600548.155,0.13,"GeoXH 6000",24.92,0.18,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_050","39","tower","basePlot",32.539898,-87.805393,"WGS84","16N",424374.382,3600567.732,0.13,"GeoXH 6000",25.61,0.16,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_050","21","tower","basePlot",32.539719,-87.805406,"WGS84","16N",424373.033,3600547.911,0.13,"GeoXH 6000",29.75,0.16,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_051","39","tower","basePlot",32.538539,-87.806352,"WGS84","16N",424283.204,3600417.801,0.13,"GeoXH 6000",24.14,0.16,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_039","61","tower","basePlot",32.542768,-87.805627,"WGS84","16N",424354.838,3600886.148,0.13,"GeoXH 6000",24.3,0.19,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_039","39","tower","basePlot",32.542597,-87.806069,"WGS84","16N",424313.237,3600867.506,0.13,"GeoXH 6000",27.84,0.16,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_039","21","tower","basePlot",32.54241,-87.806063,"WGS84","16N",424313.601,3600846.7,0.13,"GeoXH 6000",26.32,0.14,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_040","57","tower","basePlot",32.538996,-87.804728,"WGS84","16N",424436.104,3600467.34,0.13,"GeoXH 6000",24.46,0.14,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_041","41","tower","basePlot",32.540703,-87.807742,"WGS84","16N",424154.483,3600658.718,0.13,"GeoXH 6000",23.86,0.2,"deciduousForest",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_052","25","tower","basePlot",32.539418,-87.807845,"WGS84","16N",424143.745,3600516.269,0.13,"GeoXH 6000",24.41,0.15,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_053","21","tower","basePlot",32.537293,-87.804392,"WGS84","16N",424466.244,3600278.257,0.13,"GeoXH 6000",25.15,0.18,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_044","57","tower","basePlot",32.540857,-87.80639,"WGS84","16N",424281.644,3600674.786,0.13,"GeoXH 6000",26.69,0.19,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_054","57","tower","basePlot",32.541437,-87.803468,"WGS84","16N",424556.471,3600737.07,0.14,"GeoXH 6000",28.05,0.17,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_054","23","tower","basePlot",32.541078,-87.803262,"WGS84","16N",424575.549,3600697.054,0.14,"GeoXH 6000",25.29,0.16,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_056","41","tower","basePlot",32.540984,-87.801984,"WGS84","16N",424695.466,3600685.782,0.14,"GeoXH 6000",30.05,0.26,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_056","43","tower","basePlot",32.54099,-87.801766,"WGS84","16N",424715.936,3600686.243,0.14,"GeoXH 6000",26.18,0.19,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_056","23","tower","basePlot",32.540811,-87.801985,"WGS84","16N",424695.154,3600666.576,0.14,"GeoXH 6000",23.81,0.18,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_050","41","tower","basePlot",32.539898,-87.805176,"WGS84","16N",424394.774,3600567.6,0.14,"GeoXH 6000",26.23,0.2,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_051","41","tower","basePlot",32.538534,-87.806139,"WGS84","16N",424303.251,3600417.107,0.14,"GeoXH 6000",23.88,0.31,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_051","21","tower","basePlot",32.538361,-87.806349,"WGS84","16N",424283.374,3600398.07,0.14,"GeoXH 6000",27.4,0.16,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_039","49","tower","basePlot",32.542681,-87.805952,"WGS84","16N",424324.226,3600876.736,0.14,"GeoXH 6000",24.66,0.19,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_039","59","tower","basePlot",32.54276,-87.805835,"WGS84","16N",424335.33,3600885.402,0.14,"GeoXH 6000",27.91,0.22,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_039","43","tower","basePlot",32.542591,-87.805639,"WGS84","16N",424353.591,3600866.447,0.14,"GeoXH 6000",24.88,0.18,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_040","41","tower","basePlot",32.53881,-87.804512,"WGS84","16N",424456.224,3600446.498,0.14,"GeoXH 6000",33.92,0.24,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_040","31","tower","basePlot",32.538729,-87.804637,"WGS84","16N",424444.461,3600437.693,0.14,"GeoXH 6000",26.78,0.28,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_040","49","tower","basePlot",32.538906,-87.804623,"WGS84","16N",424445.892,3600457.251,0.14,"GeoXH 6000",25.76,0.19,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_040","59","tower","basePlot",32.538994,-87.804504,"WGS84","16N",424457.124,3600466.946,0.14,"GeoXH 6000",30.18,0.16,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_041","57","tower","basePlot",32.540886,-87.80795,"WGS84","16N",424135.179,3600679.113,0.14,"GeoXH 6000",23.67,0.22,"deciduousForest",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_052","41","tower","basePlot",32.539602,-87.808066,"WGS84","16N",424123.181,3600536.819,0.14,"GeoXH 6000",24.13,0.19,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_052","21","tower","basePlot",32.539424,-87.808274,"WGS84","16N",424103.452,3600517.263,0.14,"GeoXH 6000",25.35,0.19,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_052","59","tower","basePlot",32.539783,-87.808066,"WGS84","16N",424123.3,3600556.913,0.14,"GeoXH 6000",25.22,0.18,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_053","39","tower","basePlot",32.537467,-87.804408,"WGS84","16N",424464.916,3600297.639,0.14,"GeoXH 6000",27.72,0.18,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_043","25","tower","basePlot",32.539411,-87.806576,"WGS84","16N",424262.909,3600514.619,0.14,"GeoXH 6000",24.62,0.14,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_043","43","tower","basePlot",32.539596,-87.806577,"WGS84","16N",424263.016,3600535.108,0.14,"GeoXH 6000",25.18,0.17,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_043","39","tower","basePlot",32.539597,-87.807,"WGS84","16N",424223.247,3600535.553,0.14,"GeoXH 6000",24.19,0.18,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_044","21","tower","basePlot",32.540503,-87.806388,"WGS84","16N",424281.515,3600635.596,0.14,"GeoXH 6000",26.77,0.18,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_044","59","tower","basePlot",32.540863,-87.806163,"WGS84","16N",424302.951,3600675.289,0.14,"GeoXH 6000",24.39,0.17,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_044","61","tower","basePlot",32.540862,-87.805954,"WGS84","16N",424322.555,3600675.005,0.14,"GeoXH 6000",29.53,0.32,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_037","21","tower","basePlot",32.539457,-87.8022,"WGS84","16N",424673.863,3600516.659,0.15,"GeoXH 6000",26.39,0.23,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_054","39","tower","basePlot",32.541266,-87.803462,"WGS84","16N",424556.867,3600718.038,0.15,"GeoXH 6000",29.64,0.17,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_054","21","tower","basePlot",32.541066,-87.803462,"WGS84","16N",424556.705,3600695.838,0.15,"GeoXH 6000",30.76,0.21,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_056","21","tower","basePlot",32.540811,-87.8022,"WGS84","16N",424675.004,3600666.707,0.15,"GeoXH 6000",24.84,0.18,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_056","25","tower","basePlot",32.540793,-87.801776,"WGS84","16N",424714.789,3600664.397,0.15,"GeoXH 6000",31.34,0.22,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_046","25","tower","basePlot",32.537533,-87.805264,"WGS84","16N",424384.559,3600305.546,0.15,"GeoXH 6000",24.48,0.3,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_047","61","tower","basePlot",32.539835,-87.800152,"WGS84","16N",424866.458,3600557.061,0.15,"GeoXH 6000",23.24,0.18,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_048","61","tower","basePlot",32.540394,-87.798909,"WGS84","16N",424983.705,3600618.134,0.15,"GeoXH 6000",29.4,0.17,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_051","43","tower","basePlot",32.538531,-87.805919,"WGS84","16N",424323.893,3600416.623,0.15,"GeoXH 6000",25.82,0.19,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_040","25","tower","basePlot",32.538624,-87.804318,"WGS84","16N",424474.266,3600425.811,0.15,"GeoXH 6000",30.4,0.19,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_041","61","tower","basePlot",32.540882,-87.807525,"WGS84","16N",424175.027,3600678.418,0.15,"GeoXH 6000",23.85,0.22,"deciduousForest",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_042","61","tower","basePlot",32.54197,-87.804986,"WGS84","16N",424414.385,3600797.153,0.15,"GeoXH 6000",25.49,0.21,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_045","43","tower","basePlot",32.540167,-87.803345,"WGS84","16N",424566.944,3600596.103,0.15,"GeoXH 6000",25.96,0.26,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_037","41","tower","basePlot",32.539626,-87.801969,"WGS84","16N",424695.66,3600535.205,0.16,"GeoXH 6000",27.65,0.19,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_037","57","tower","basePlot",32.53981,-87.802184,"WGS84","16N",424675.687,3600555.778,0.16,"GeoXH 6000",26.89,0.21,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_037","43","tower","basePlot",32.539646,-87.801766,"WGS84","16N",424714.807,3600537.237,0.16,"GeoXH 6000",27.8,0.26,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_038","33","tower","basePlot",32.542195,-87.806705,"WGS84","16N",424253.185,3600823.379,0.16,"GeoXH 6000",23.11,0.22,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_055","43","tower","basePlot",32.541768,-87.807543,"WGS84","16N",424174.11,3600776.622,0.16,"GeoXH 6000",26.25,0.2,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_055","61","tower","basePlot",32.541957,-87.807529,"WGS84","16N",424175.609,3600797.556,0.16,"GeoXH 6000",26.02,0.21,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_047","39","tower","basePlot",32.539669,-87.800579,"WGS84","16N",424826.245,3600538.989,0.16,"GeoXH 6000",25.11,0.21,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_047","21","tower","basePlot",32.539488,-87.800587,"WGS84","16N",424825.392,3600518.879,0.16,"GeoXH 6000",23.46,0.22,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_049","21","tower","basePlot",32.541895,-87.802532,"WGS84","16N",424644.712,3600787.107,0.16,"GeoXH 6000",26.87,0.24,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_049","59","tower","basePlot",32.542275,-87.802321,"WGS84","16N",424664.831,3600829.105,0.16,"GeoXH 6000",29.39,0.22,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_050","43","tower","basePlot",32.539905,-87.804964,"WGS84","16N",424414.749,3600568.246,0.16,"GeoXH 6000",25.11,0.2,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_051","25","tower","basePlot",32.538357,-87.805958,"WGS84","16N",424320.059,3600397.317,0.16,"GeoXH 6000",35.4,0.27,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_051","59","tower","basePlot",32.538713,-87.806111,"WGS84","16N",424305.981,3600436.931,0.16,"GeoXH 6000",30.02,0.21,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_039","31","tower","basePlot",32.542506,-87.805955,"WGS84","16N",424323.837,3600857.3,0.16,"GeoXH 6000",29.34,0.2,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_053","25","tower","basePlot",32.537297,-87.803957,"WGS84","16N",424507.051,3600278.382,0.16,"GeoXH 6000",25.64,0.25,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_042","39","tower","basePlot",32.541793,-87.805417,"WGS84","16N",424373.71,3600777.918,0.16,"GeoXH 6000",23.54,0.21,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_043","41","tower","basePlot",32.539604,-87.806783,"WGS84","16N",424243.604,3600536.228,0.16,"GeoXH 6000",27.08,0.18,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_045","41","tower","basePlot",32.540165,-87.803564,"WGS84","16N",424546.353,3600596.046,0.16,"GeoXH 6000",26.53,0.19,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_045","21","tower","basePlot",32.539991,-87.803769,"WGS84","16N",424526.966,3600576.927,0.16,"GeoXH 6000",30.14,0.24,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_055","21","tower","basePlot",32.541587,-87.807976,"WGS84","16N",424133.255,3600756.883,0.17,"GeoXH 6000",24.73,0.22,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_056","39","tower","basePlot",32.54098,-87.802217,"WGS84","16N",424673.529,3600685.446,0.17,"GeoXH 6000",31.26,0.23,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_046","43","tower","basePlot",32.537712,-87.805268,"WGS84","16N",424384.324,3600325.371,0.17,"GeoXH 6000",29.73,0.24,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_047","57","tower","basePlot",32.539843,-87.800574,"WGS84","16N",424826.921,3600558.222,0.17,"GeoXH 6000",27.27,0.19,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_047","25","tower","basePlot",32.539474,-87.800157,"WGS84","16N",424865.699,3600517.058,0.17,"GeoXH 6000",24.27,0.2,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_047","59","tower","basePlot",32.539846,-87.80036,"WGS84","16N",424846.995,3600558.421,0.17,"GeoXH 6000",25.34,0.22,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_049","25","tower","basePlot",32.541892,-87.80209,"WGS84","16N",424686.25,3600786.472,0.17,"GeoXH 6000",26.52,0.26,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_049","41","tower","basePlot",32.542073,-87.802307,"WGS84","16N",424665.979,3600806.719,0.17,"GeoXH 6000",24.18,0.24,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_049","43","tower","basePlot",32.542069,-87.802095,"WGS84","16N",424685.922,3600806.167,0.17,"GeoXH 6000",23.21,0.29,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
